Category,Předmět,Cena,Dostupnost,Váha,Čas,Talent,Nářadí,Trvanlivost,Zdroj,Poznámky,Talent/nářadí,"Effekt (Opravy lepších předmětů jsou náročnější
Suroviny,*Skleněná kompozitní useň,10,Epická,Normální,1/čtvrtden,,,,"kožešina, lepidlo, ½ sklo",,"Koželuh (úroveň 3), Koželužna","Nahrazuje useň, -4 při výrobě (snižuje se s úrovní talentu), přidá +2 k předmětu"
Suroviny,*Palivové dřevo,"0,2",Běžná,Normální,,,,,–,,1/čtvrtden,"Pouze na pálení, lze nalézt 3 kusy palivového místo 2 klasického"
Suroviny,*Dřevěné uhlí,"0,8",Běžná,Normální,,,,,4× dřevo nebo palivové dřevo,,Oheň / Pec,Bonus +1 při hodu na ŘEMESLA
Suroviny,*Černé uhlí,"0,8",Vzácná,Normální,,,,,–,,1/Uhelný důl,Bonus +1 při hodu na ŘEMESLA
Suroviny,*Koks,"1,6",Vzácná,Normální,,,,,2× černé uhlí,,Oheň / Pec,Bonus +2 při hodu na ŘEMESLA
Suroviny,Železná ruda,"0,4",–,–,Důl,,,,–,,,
Suroviny,Železo,1,–,,1-12/čtvrtden,,,,železná ruda,,Kovář/Kovárna,"Železo se dá vyprodukovat i bez kovárny, ale jen tempem 1 jednotky za čtvrtden. Vyžaduje jednotku železné rudy a hod na Řemesla."
Suroviny,Stříbro,10,–,–,–,,,,–,,,"Nahrazuje železo, +1 při výrobě. Lze použít pro pokování za 1/10 ceny železa, výroba trvá 2x déle,  přidá bonus +1 MANIPULACE"
Suroviny,Zlato,100,–,–,–,,,,–,,,"Nahrazuje železo, +2 při výrobě. Nelze vytvořit zbraň a zbroj. Lze použít pro pokování za 1/10 ceny železa, výroba trvá 2x déle,  přidá bonus +1 MANIPULACE"
Suroviny,Olovo,"0,3",Neobvyklá,Normální,1-12/čtvrtden,,,,,,Kovář/ Kovárna,"Nahrazuje železo, +1 při výrobě, nelze použít pro zbraně, zbroj, nářadí. Je 2x těžší a u ohně taje."
Suroviny,Měď,1,Běžná,Normální,1-12/čtvrtden,,,,Měděná ruda,,"Kovář, Kovárna","Nahrazuje železo, +1 při výrobě, nelze použít pro zbraně, zbroj a příbory"
Suroviny,*Bronz / Mosaz,3,Neobvyklá,Normální,1-12/čtvrtden,,,,"1/5 cín / zinek, 4/5 měď",,"Kovář, Kovárna",Může nahradit železo při výrobě
Suroviny,*Cín / Zinek,5,Neobvyklá,Normální,1-12/čtvrtden,,,,Ruda cínu / zinku,,"Kovář, Kovárna",Chrání kovy před rezí
Suroviny,*Kované železo,3,Neobvyklá,Normální,1-12/čtvrtden,,,,"Železo, dřevěné uhlí",,"Kovář (úroveň 2), Kovárna","Nahrazuje železo, -2 při výrobě (snižuje se s úrovní talentu), přidá +1 k předmětu"
Suroviny,*Ocel,10,Vzácná,Normální,1-12/čtvrtden,,,,"Kované železo, černé uhlí",,"Kovář (úroveň 3), Kovárna","Nahrazuje železo, -4 při výrobě (snižuje se s úrovní talentu), přidá +2 k předmětu"
Suroviny,*Vzácné minerály,"1,5",Vzácná,Drobná,1-12/čtvrtden,,,,(Různé),,–,Surovina
Suroviny,*Kelímková ocel,20,Epická,Normální,1-12/čtvrtden,,,,"1/2 železo, 3/4 kované železo, vzácné minerály, sklo",,"Kovář (úroveň 4), Kovárna","Stejně jako ocel, ale přidává bonus +1 k MANIPULACI"
Suroviny,*Trpasličí ocel,30,Epická,Normální,1-12/čtvrtden,,,,"Ocel, 2× koks, 3× vzácné minerály",,"Kovář (úroveň 4), Kovárna","Nahrazuje železo, -6 při výrobě (snižuje se s úrovní talentu), přidá +3 k předmětu. Imunní vůči rzi."
Suroviny,*Poskvrněné maso,,,Lehká,1/směna,,,,,,Nůž,Trvanlivost 1 den (Hal. Jed 3)
Suroviny,*Mog z démona,1,Vzácná,Lehká,1-12/čtvrtden,,,,4 Poskvrněná masa,,"Alchymista, Destilerie","Kouzelník může použít jako bod vůle při kouzlení, každá jednotka přidává kostku."
Suroviny,*Kůže monstra,"2,4",Vzácná,Normální,1/směna,,,,,,,Trvanlivost 1 týden
Suroviny,*Useň z monstra,"3,6",Vzácná,Normální,1–12/čtvrtden,,,,Kůže monstra,,"Koželuh, Koželužna","Nahrazuje useň, -2 při výrobě (snižuje se s úrovní talentu), přidá +1 k předmětu"
Suroviny,*Trolí kůže,3,Vzácná,Normální,1/směna,,,,,,,Trvanlivost 1 týden
Suroviny,*Trolí useň,"3,6",Vzácná,Normální,1–12/čtvrtden,,,,Trolí kůže,,"Koželuh, Koželužna","Nahrazuje železo, -2 při výrobě (snižuje se s úrovní talentu), přidá +1 ke zbroji"
Suroviny,*Kamenná kůže,"3,6",Epická,Normální,1–12/čtvrtden,,,,Trolí kůže,,"Koželuh, Koželužna, Slunce","Nahrazuje železo, -2 při výrobě (snižuje se s úrovní talentu), znižuje čas na ¼"
Suroviny,*Dračí kůže,15,Epická,Normální,1 směna,,,,–,,Nůž,
Suroviny,*Dračí useň,40,Epická,Normální,1-12/čtvrtden,,,,Dračí kůže,,"Koželuh, Koželužna","Nahrazuje useň, -6 při výrobě (snižuje se s úrovní talentu), přidá +k8 k předmětu"
Suroviny,*Dračí šupiny,30,Epická,Normální,1/směna,,,,–,,–,
Suroviny,*Šupiny drakoještěra,10,Epická,Normální,1/směna,,,,–,,–,"Nahrazuje useň, -4 při výrobě (snižuje se s úrovní talentu), přidá +1 k předmětu, +2 k manipulaci"
Suroviny,*Hrubý chitin,–,–,Těžká,1/směna,,,,–,,Nůž,Trvanlivost 1 týden
Suroviny,*Chitinový plát,8,Epická,Normální,1–12/čtvrtden,,,,Hrubý chitin + 1/4 vápenec,,"Koželuh, Koželužna","Nahrazuje useň u tvrzené kůže, -4 při výrobě (snižuje se s úrovní talentu), přidá +2 ke zbroji"
Suroviny,*Pavoučí žláza,15,–,Normální,1 týden,,,,–,,Nůž,
Suroviny,*Pavoučí hedvábí,50,Epická,Lehká,1–12/ čtvrtden,,,,Pavoučí žláza + Alkohol,,"Krejčí, Krejčovství","Nahrazuje látku, -6 při výrobě (snižuje se s úrovní talentu), sníží zbroj o 1, ale přidá k8, sníží váhu o 1, manipulace +1.Při použití 2x pavoučího hedvábí, nesnižuj hmotnost ani zbroj."
Suroviny,*Meteoritové železo,100,Epická,Těžká,1–12/čtvrtden,,,,Ruda meteoru,,"Kovář, Kovárna","Nahrazuje železo, žádný postih při výrobě. přidá +1 k bonusu a +1 k zranění, 2x větší váha"
Suroviny,*Meteoritová ocel,75,Epická,Normální,1–12/čtvrtden,,,,1/4 meteorit. železo + 3/4 ocel,,"Kovář (úroveň 4), Kovárna","Nahrazuje železo, -8 při výrobě (snižuje se s úrovní talentu), přidá +4 k předmětu;"
Suroviny,*Meteoritový bronzHvězdný bronz,75,Epická,Normální,1–12/čtvrtden,,,,1/4 meteorit. železo + 3/4 bronz,,"Kovář (úroveň 4), Kovárna","Nahrazuje železo, -4 při výrobě (snižuje se s úrovní talentu), přidá smrt. Jed 6 k zásahu. Šance na otravu při výrobě a opravě."
Suroviny,*Meteoritové stříbroPravostříbro,75,Epická,Lehká,1–12/ čtvrtden,,,,1/4 meteorit. železo + 3/4 stříbro,,"Kovář (úroveň 4), Kovárna","Nahrazuje železo u zbraní, -6 při výrobě (snižuje se s úrovní talentu), přidá +k8 k předmětu.Nahrazuje železo u zbroje na 1/2, -6 při výrobě (snižuje se s úrovní talentu), sníží váhu o ½ a odebere 1 postih MRŠTNOSTI"
Suroviny,*Meteoritové zlatoElyrium,150,Epická,Těžká,1–12/čtvrtden,,,,1/4 meteorit. železo + 3/4 zlato,,"Kovář (úroveň 4), Kovárna","Nahrazuje železo, žádný postih při výrobě. Přidá bonus předmětu +2, 2x větší váha; +2 k manipulaci; Při sesílání nebo obdržení kouzla hoď na bonus, sniž úroveň kouzla o 1 za úspěch."
Suroviny,*Ruda cinabaritu,"0,4",Vzácná,Normální,x/ čtvrtden,,,,–,,Krumpáč,
Suroviny,*Rtuť,1,Vzácná,Normální,1–12/čtvrtden,,,,Ruda cinabaritu,,"Alchymista, Destilerie","Získává také síru, dá se použít pro získání více zlata ze zlaté rudy pomocí mlýnu. (1:1 místo 1:1 až 1:2)"
Suroviny,*Roh,3,Neobvyklá,Normální,1/směna,,,,–,,,Používá se u kompozitních luků
Suroviny,*Roh monstra,10,Epická,Normální,–,,,,–,,–,"Nahrazuje roh, -2 při výrobě (snižuje se s úrovní talentu), přidá +1 bonus k předmětu"
Suroviny,*Obří vlas,1,Epická,Normální,–,,,,–,,Nůž / Sekera,"-2 při výrobě luku (snižuje se s úrovní talentu), přidá +1 k předmětu;"
Suroviny,*Kost,"0,1",Neobvyklá,Normální,–,,,,–,,–,"Surovina, lukař dokáže nahradit ½ železa kostí."
Suroviny,*Zkamenělá kost,5,Epická,Normální,1/směna,,,,–,,Nůž / Sekera,"Nahrazuje všechno železo při výrobě zbraně, žádný postih při výrobě. Můžeš vyřezat detaily do zbraně za postih -2, přidá pak +1 reputaci."
Suroviny,*Pazourek,"0,6",Neobvyklá,Normální,x/ čtvrtden,,,,–,,Krumpáč,Může být použit jako kámen při výrobě. Viz. Lukař. (+1 ke zranění)
Suroviny,*Obsidián,1,Vzácná,Normální,x/ čtvrtden,,,,–,,Krumpáč,Může být použit jako kámen při výrobě. Viz. Lukař. (+1 ke zranění)
Suroviny,*Zkamenělé dřevo,"0,3",Vzácná,Normální,–,,,,Alternativně kouzlem zkamenění dřeva,,Krumpáč,"Surovina, používá se v dolech"
Suroviny,*Luxusní zkamenělé dřevo,1,Epická,Normální,–,,,,Alt. zkamenění železodřeva,,Krumpáč,Surovina
Suroviny,*Živé dřevo,1,Epická,Normální,x/ čtvrtden,,,,–,,Dřevorubecká sekera,"Nahrazuje dřevo, -2 při výrobě (snižuje se s úrovní talentu), pokud je předmět na slunci a není zima, opravuje se 1 za den."
Suroviny,*Uhlíkaté dřevo,1,Epická,Normální,x/ čtvrtden,,,,–,,Dřevorubecká sekera,"Nahrazuje dřevo, žádný postih při výrobě, +2 při hodech na uhašení ohně"
Suroviny,*Zlovolné dřevo,1,Vzácná,Normální,x/ čtvrtden,,,,–,,Dřevorubecká sekera,"Nahrazuje dřevo, -4 při výrobě (snižuje se s úrovní talentu), přidá smrt. Jed 3 k zásahu. Šance na otravu při výrobě a opravě.Míza funguje jako jed (3), travič dokáže ŘEMESLY/LÉČENí zvýšit jed o X."
Suroviny,*Chladné dřevo,1,Vzácná,Normální,x/ čtvrtden,,,,–,,Dřevorubecká sekera,"Nahrazuje dřevo, žádný postih při výrobě, +2 při hodech na uhašení ohně, chladné na dotek. Při tvorbě sklípku můžou nahradit kamen za bonus +2."
Suroviny,*Stříbrné dřevo,"1,5",Vzácná,Lehká,x/ čtvrtden,,,,–,,Dřevorubecká sekera,"Nahrazuje dřevo, -3 při výrobě (snižuje se s úrovní talentu), sníží váhu o ½"
Suroviny,*Zlaté dřevo,1,Vzácná,Normální,x/ čtvrtden,,,,–,,Dřevorubecká sekera,Louče vyrobené ze zlatého dřeva vydrží 2x déle.
Suroviny,*Železodřevo,1,Neobvyklá,Normální,x/ čtvrtden,,,,–,,Dřevorubecká sekera,"Nahrazuje dřevo, -3 při výrobě (snižuje se s úrovní talentu), přidá bonus +1 k předmětu"
Suroviny,*Starodávné dřevo,3,Vzácná,Normální,x/ čtvrtden,,,,–,,Dřevorubecká sekera,"Nahrazuje dřevo, -5 při výrobě (snižuje se s úrovní talentu), přidá bonus +2 k předmětu"
Suroviny,*Kamenodřevo,10,Epická,Těžká,x/ čtvrtden,,,,Alt. zkamenění starodávného dřeva,,Dřevorubecká sekera (může se zlomit),"Nahrazuje dřevo, -7 při výrobě (snižuje se s úrovní talentu), přidá bonus +k8 a zvýší váhu na 2x předmětu"
Suroviny,*Dřevo z enta,3,Epická,Normální,1/směna,,,,,,–,"Nahrazuje dřevo, +4 při výrobě a opravě, pokud je dřevo namočené ve vodě."
Suroviny,*Pryskyřice / míza,"0,3",Vzácná,Lehká,x/ čtvrtden,,,,(1 hliněný džbán na jednotku),,Dřevorubecká sekera,"Lze z něj v peci vytvořit dehet, ten slouží jako hydroizolační bonus +1 při stavbě."
Suroviny,*Sušená řasa,"0,3",Vzácná,Lehká,2 x/denně,,,,,,Nůž,"Usušená nemá trvanlivost, přidá 1 úrodu při hnojení pole."
Suroviny,*Svítivá řasa,"0,5",Vzácná,Lehká,x/denně,,,,,,Nůž,Zdroj světla při kvetení. V lampě vydrží max týden.
Suroviny,Cihly,"0,7",Neobvyklá,Lehká,12/čtvrtden,,,,,,,
